status,truth_id,n_obs,obs_noise,seed,case_id,output_dir,best_start,nfev,runtime_sec,obs_rmse,h_rmse,logK_rmse,xi_corr,xi_distance,weak_pass,strong_pass,failure_reason
ok,123,200,0.005,202,truth_123_obs_200_noise_005_seed_202,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_005/seed_202,zero,636,27.063974857330322,0.004948522044807985,0.0007337350554778641,0.02033368921426773,0.9998291161711529,0.07744566761505976,True,True,
ok,123,200,0.005,303,truth_123_obs_200_noise_005_seed_303,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_005/seed_303,random_02,1102,45.888368129730225,0.004920825226008625,0.0010114395467269409,0.015403603378103061,0.9999348600982667,0.04866030308088969,True,True,
ok,123,200,0.005,404,truth_123_obs_200_noise_005_seed_404,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_005/seed_404,random_01,677,29.00441598892212,0.004818093898511387,0.0006262492832766372,0.020364093472845568,0.9996992278914157,0.07254569566047993,True,True,
ok,123,200,0.02,202,truth_123_obs_200_noise_02_seed_202,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_02/seed_202,zero,609,26.06973886489868,0.019764169080510513,0.0024542092409974257,0.08148846369850783,0.9973033784929776,0.31050979522157385,True,True,
ok,123,200,0.02,303,truth_123_obs_200_noise_02_seed_303,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_02/seed_303,random_02,1078,45.5907039642334,0.01965022481040747,0.003229839356614263,0.058842690689632625,0.9989910339309284,0.18464781224671034,True,False,
ok,123,200,0.02,404,truth_123_obs_200_noise_02_seed_404,outputs/cg_seed_audit/fdm_kle/truth_123/obs_200/noise_02/seed_404,random_01,670,28.2582368850708,0.01924156516937919,0.0021481509992387314,0.07960373201850533,0.9956911584534763,0.2837377209849072,True,True,
ok,456,200,0.005,202,truth_456_obs_200_noise_005_seed_202,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_005/seed_202,random_01,794,33.48332595825195,0.0049640301863784165,0.0008748338723262951,0.01721571254872939,0.9998667740705484,0.06554495372717775,True,True,
ok,456,200,0.005,303,truth_456_obs_200_noise_005_seed_303,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_005/seed_303,zero,958,40.26339101791382,0.004944817944209546,0.0011401377163968982,0.014684734995454527,0.9998450458715545,0.051109477430837456,True,True,
ok,456,200,0.005,404,truth_456_obs_200_noise_005_seed_404,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_005/seed_404,random_02,1001,42.91765904426575,0.004844405555100733,0.0006362116894384106,0.013562935234234266,0.9998739061482246,0.04862132171147184,True,True,
ok,456,200,0.02,202,truth_456_obs_200_noise_02_seed_202,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_02/seed_202,random_02,1315,55.482271909713745,0.01976941886508873,0.0025144895772031173,0.06923308472512144,0.997768912642717,0.2625787168984282,True,True,
ok,456,200,0.02,303,truth_456_obs_200_noise_02_seed_303,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_02/seed_303,random_01,842,35.62557601928711,0.019676228049628354,0.0031769590659526483,0.0587486984991484,0.9975420631302858,0.19981468118881543,True,False,
ok,456,200,0.02,404,truth_456_obs_200_noise_02_seed_404,outputs/cg_seed_audit/fdm_kle/truth_456/obs_200/noise_02/seed_404,random_01,914,38.22465109825134,0.019280718800884958,0.0017763219768023978,0.05565938755396645,0.997895341999872,0.19619394842599208,True,True,
ok,789,200,0.005,202,truth_789_obs_200_noise_005_seed_202,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_005/seed_202,random_02,481,20.427146911621094,0.004951225236106465,0.0006904277668303838,0.018423590055724148,0.9998599542391455,0.07039578848680429,True,True,
ok,789,200,0.005,303,truth_789_obs_200_noise_005_seed_303,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_005/seed_303,random_02,600,25.23178791999817,0.0049260224187424925,0.0009570533257164766,0.011648675015740996,0.9998145878452884,0.037754783807571544,True,True,
ok,789,200,0.005,404,truth_789_obs_200_noise_005_seed_404,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_005/seed_404,random_02,541,23.07947278022766,0.004817471039515594,0.000606166939349191,0.017097965404998854,0.9997576207441145,0.06403247857130556,True,True,
ok,789,200,0.02,202,truth_789_obs_200_noise_02_seed_202,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_02/seed_202,random_01,562,23.719706058502197,0.01977472003627821,0.002308056573055925,0.07503361901797904,0.997589069095911,0.2869625341435335,True,True,
ok,789,200,0.02,303,truth_789_obs_200_noise_02_seed_303,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_02/seed_303,zero,534,22.763329029083252,0.019669761947324685,0.0030598590880362747,0.04824362441894657,0.9969842550477729,0.15465461178390744,True,False,
ok,789,200,0.02,404,truth_789_obs_200_noise_02_seed_404,outputs/cg_seed_audit/fdm_kle/truth_789/obs_200/noise_02/seed_404,random_01,474,20.051188945770264,0.019237378650027438,0.0021516882886244725,0.06998545687642593,0.995713417108412,0.26099940183051923,True,True,
