truth_id,logK_std,obs_noise,n_obs,seed,logK_rmse,h_rmse,weak_pass,strong_pass
123,0.3637,0.005,200,202,0.020334,0.0007337351,True,True
123,0.3637,0.01,200,202,0.040561,0.0012944254,True,True
123,0.3637,0.02,200,202,0.081488,0.0024542092,True,True
456,0.7069,0.005,200,202,0.017216,0.0008748339,True,True
456,0.7069,0.01,200,202,0.034386,0.0013952324,True,True
456,0.7069,0.02,200,202,0.069233,0.0025144896,True,True
789,0.4666,0.005,200,202,0.018424,0.0006904278,True,True
789,0.4666,0.01,200,202,0.037197,0.0012154107,True,True
789,0.4666,0.02,200,202,0.075034,0.0023080566,True,True
321,0.4023,0.005,200,202,0.016024,0.0004584556,True,True
321,0.4023,0.01,200,202,0.032142,0.0008728837,True,True
321,0.4023,0.02,200,202,0.064365,0.0017831203,True,True
555,0.1657,0.005,200,202,0.019952,0.0005435836,True,True
555,0.1657,0.01,200,202,0.039905,0.0010947049,True,True
555,0.1657,0.02,200,202,0.080046,0.0022038055,True,True
777,0.3382,0.005,200,202,0.016976,0.0004501258,True,True
777,0.3382,0.01,200,202,0.034245,0.0009093701,True,True
777,0.3382,0.02,200,202,0.068873,0.0018736732,True,True
999,0.5567,0.005,200,202,0.017473,0.0004669242,True,True
999,0.5567,0.01,200,202,0.034841,0.0009154237,True,True
999,0.5567,0.02,200,202,0.069615,0.0018726004,True,True
1357,0.7997,0.005,200,202,0.023025,0.0005497469,True,True
1357,0.7997,0.01,200,202,0.044963,0.0010925973,True,True
1357,0.7997,0.02,200,202,0.08922,0.0021919378,True,True
